id_contrato,municipio_execucao,secretaria_responsavel,status_obra,orcamento_inicial_reais,valor_aditivos_reais,dias_de_atraso,percentual_conclusao
CT-2022-0001,Aracaju,Infraestrutura,Concluída,2130399.63,228051.44,0,100.0
CT-2022-0002,Tobias Barreto,Segurança,Concluída,2270898.17,0.0,0,100.0
CT-2022-0003,Estância,Segurança,Paralisada,833916.61,271908.7,194,19.4
CT-2022-0004,Estância,Educação,Concluída,737476.91,76876.6,0,100.0
CT-2022-0005,Barra dos Coqueiros,Saúde,Paralisada,357872.43,916186.7,1149,16.6
CT-2022-0006,Aracaju,Cultura e Esporte,Concluída,399380.61,18038.35,0,100.0
CT-2022-0007,Aracaju,Cultura e Esporte,Concluída,728088.63,37599.72,0,100.0
CT-2022-0008,Lagarto,Cultura e Esporte,Concluída,192339.25,19403.68,0,100.0
CT-2022-0009,Estância,Cultura e Esporte,Concluída,15764426.7,0.0,0,100.0
CT-2022-0010,Nossa Senhora do Socorro,Cultura e Esporte,Em Andamento,1861983.02,0.0,0,79.7
CT-2022-0011,Barra dos Coqueiros,Saúde,Paralisada,1724060.92,5557783.31,1483,37.6
CT-2022-0012,Tobias Barreto,Educação,Em Andamento,2800294.96,0.0,0,5.0
CT-2022-0013,Aracaju,Educação,Concluída,5948074.84,0.0,0,100.0
CT-2022-0014,Estância,Cultura e Esporte,Concluída,3415955.67,0.0,0,100.0
CT-2022-0015,Itabaiana,Saúde,Paralisada,872082.01,134722.16,417,67.4
CT-2022-0016,Aracaju,Saúde,Paralisada,4249363.4,11948222.18,1399,20.5
CT-2022-0017,Nossa Senhora do Socorro,Saúde,Em Andamento,602478.41,0.0,0,73.2
CT-2022-0018,São Cristóvão,Infraestrutura,Em Andamento,5973922.84,0.0,0,65.7
CT-2022-0019,Aracaju,Segurança,Atrasada,4111159.52,1228872.68,138,76.4
CT-2022-0020,Nossa Senhora do Socorro,Saúde,Paralisada,8441619.94,24141634.61,1670,35.1
CT-2022-0021,Nossa Senhora do Socorro,Infraestrutura,Concluída,6391018.45,0.0,0,100.0
CT-2022-0022,Aracaju,Cultura e Esporte,Concluída,1747820.85,0.0,0,100.0
CT-2022-0023,Aracaju,Infraestrutura,Concluída,6889179.71,607105.24,0,100.0
CT-2022-0024,Aracaju,Segurança,Paralisada,5129127.5,634175.17,766,40.6
CT-2022-0025,Barra dos Coqueiros,Saúde,Paralisada,1928572.06,3909146.15,1745,15.7
CT-2022-0026,Nossa Senhora do Socorro,Segurança,Concluída,3711449.31,0.0,0,100.0
CT-2022-0027,Aracaju,Educação,Concluída,696538.76,65561.45,0,100.0
CT-2022-0028,Aracaju,Segurança,Em Andamento,2442820.0,0.0,0,46.1
CT-2022-0029,Nossa Senhora do Socorro,Saúde,Paralisada,315336.57,915276.45,1208,33.2
CT-2022-0030,Tobias Barreto,Cultura e Esporte,Atrasada,1737475.34,265442.53,82,39.9
CT-2022-0031,Barra dos Coqueiros,Segurança,Atrasada,3117466.85,695928.42,139,74.8
CT-2022-0032,Aracaju,Educação,Concluída,3112443.07,0.0,0,100.0
CT-2022-0033,Aracaju,Infraestrutura,Paralisada,1537908.49,739525.68,327,59.8
CT-2022-0034,São Cristóvão,Educação,Concluída,426880.41,0.0,0,100.0
CT-2022-0035,Aracaju,Infraestrutura,Concluída,3223135.27,0.0,0,100.0
CT-2022-0036,Estância,Educação,Concluída,415576.76,0.0,0,100.0
CT-2022-0037,Aracaju,Saúde,Concluída,950989.68,120483.77,0,100.0
CT-2022-0038,Aracaju,Infraestrutura,Atrasada,5027940.1,796394.94,132,35.9
CT-2022-0039,Barra dos Coqueiros,Saúde,Paralisada,1871566.24,2755558.44,1557,63.4
CT-2022-0040,Lagarto,Segurança,Paralisada,25304098.8,5190290.95,507,55.2
CT-2022-0041,Lagarto,Infraestrutura,Em Andamento,4562358.3,0.0,0,63.7
CT-2022-0042,Itabaiana,Segurança,Concluída,1708438.59,0.0,0,100.0
CT-2022-0043,Tobias Barreto,Cultura e Esporte,Concluída,499000.08,0.0,0,100.0
CT-2022-0044,Aracaju,Educação,Concluída,1831975.19,76758.36,0,100.0
CT-2022-0045,Aracaju,Educação,Atrasada,590745.67,64337.63,45,35.9
CT-2022-0046,Nossa Senhora do Socorro,Educação,Concluída,3662908.53,257216.18,0,100.0
CT-2022-0047,Nossa Senhora do Socorro,Cultura e Esporte,Em Andamento,482874.04,0.0,0,33.2
CT-2022-0048,Nossa Senhora do Socorro,Cultura e Esporte,Concluída,8760508.26,0.0,0,100.0
CT-2022-0049,Aracaju,Saúde,Atrasada,1631689.03,425474.67,219,69.0
CT-2022-0050,Itabaiana,Infraestrutura,Concluída,249615.6,0.0,0,100.0
CT-2022-0051,Lagarto,Infraestrutura,Atrasada,5441311.49,1289445.03,311,85.4
CT-2022-0052,Estância,Infraestrutura,Concluída,1448827.4,0.0,0,100.0
CT-2022-0053,Tobias Barreto,Segurança,Concluída,3475504.35,0.0,0,100.0
CT-2022-0054,Nossa Senhora do Socorro,Cultura e Esporte,Em Andamento,6120509.96,0.0,0,37.7
CT-2022-0055,Aracaju,Cultura e Esporte,Concluída,331875.41,7529.85,0,100.0
CT-2022-0056,Estância,Cultura e Esporte,Concluída,197544.08,0.0,0,100.0
CT-2022-0057,Lagarto,Educação,Em Andamento,607962.53,0.0,0,49.0
CT-2022-0058,Estância,Segurança,Concluída,955802.61,0.0,0,100.0
CT-2022-0059,Aracaju,Cultura e Esporte,Concluída,2377777.51,188473.47,0,100.0
CT-2022-0060,Estância,Cultura e Esporte,Concluída,9879460.1,644692.75,0,100.0
CT-2022-0061,São Cristóvão,Infraestrutura,Concluída,2512742.7,0.0,0,100.0
CT-2022-0062,Aracaju,Infraestrutura,Concluída,6033428.05,0.0,0,100.0
CT-2022-0063,Aracaju,Cultura e Esporte,Concluída,817947.69,0.0,0,100.0
CT-2022-0064,Aracaju,Educação,Concluída,6857254.25,484612.64,0,100.0
CT-2022-0065,Aracaju,Cultura e Esporte,Concluída,3911665.92,0.0,0,100.0
CT-2022-0066,Aracaju,Infraestrutura,Em Andamento,9129652.01,0.0,0,10.1
CT-2022-0067,Nossa Senhora do Socorro,Segurança,Paralisada,6351761.2,2177419.55,103,66.0
CT-2022-0068,Aracaju,Educação,Em Andamento,5846555.98,0.0,0,16.2
CT-2022-0069,Nossa Senhora do Socorro,Saúde,Atrasada,377803.48,83263.59,340,39.4
CT-2022-0070,Aracaju,Segurança,Concluída,3511344.25,0.0,0,100.0
