source,collected_at,title_raw,price,url,source_url,category_raw,rating,in_stock,availability,brand_raw,title_norm,category_norm,product_key
magalu,2026-02-11 01:55:13,"Caixa de Som Bluetooth À Prova D'água Boombox 4 JBL, Branca - JBLBOOMBOX4WHTBR",3332.00,https://www.magazineluiza.com.br/caixa-de-som-bluetooth-a-prova-d-agua-boombox-4-jbl-branca-jblboombox4whtbr/p/dc7fjkk10a/ea/jbla/,,JBL,4.3,True,,JBL,caixa de som bluetooth a prova d agua boombox 4 jbl branca jblboombox4whtbr,jbl,6fec0118436fcb27008a6c1eb593a7046c25a231
magalu,2026-02-11 01:55:11,"Caixa de Som JBL PartyBox Stage 320, Bluetooth - Branco",5038.76,https://www.magazineluiza.com.br/caixa-de-som-jbl-partybox-stage-320-bluetooth-branco/p/bh09c5gh8c/ea/jbla/,,JBL,5.0,True,,JBL,caixa de som jbl partybox stage 320 bluetooth branco,jbl,9799f251747fb3a756b39475e0988d572205e814
magalu,2026-02-11 01:55:08,Caixa de Som Boombox Aiwa AWS-BBS-01-B Bluetooth IP66 TWS,2134.08,https://www.magazineluiza.com.br/caixa-de-som-boombox-aiwa-aws-bbs-01-b-bluetooth-ip66-tws/p/cfb23dh8h6/ea/easm/,,Bluetooth / Portátil,4.83,True,,AIWA,caixa de som boombox aiwa aws bbs 01 b bluetooth ip66 tws,bluetooth portatil,61156237c79b9fd2d7fa6ee39f4b0c5b37678c77
magalu,2026-02-11 01:55:06,Caixa de Som Portátil JBL Bombox 3 80W RMS Bluetooth à Prova de Água,2959.90,https://www.magazineluiza.com.br/caixa-de-som-portatil-jbl-bombox-3-80w-rms-bluetooth-a-prova-de-agua/p/fa45eeg237/ea/jbla/,,JBL,4.78,True,,JBL,caixa de som portatil jbl bombox 3 80w rms bluetooth a prova de agua,jbl,c834f223ce891c559cb3509529b3dca65fe71cec
magalu,2026-02-11 01:55:04,"Caixa de Som Philips Party Speaker, 1300 W RMS, Bluetooth, Karaokê - TAX4209",838.43,https://www.magazineluiza.com.br/caixa-de-som-philips-party-speaker-1300-w-rms-bluetooth-karaoke-tax4209/p/ck8gdg7ff2/ea/phla/,,Philips,4.46,True,,Philips,caixa de som philips party speaker 1300 w rms bluetooth karaoke tax4209,philips,cfab2da563fbaabf168b8274eea1d985b700eda0
magalu,2026-02-11 01:55:02,Caixa de Som Bluetooth JBL Partybox 720 Preta,6075.00,https://www.magazineluiza.com.br/caixa-de-som-bluetooth-jbl-partybox-720-preta/p/dj3jdg03d9/ea/jbla/,,JBL,5.0,True,,JBL,caixa de som bluetooth jbl partybox 720 preta,jbl,371f0decf860800ffd815d96b043481c881fa6c3
magalu,2026-02-11 01:54:59,"Caixa de Som PartyBox Encore Essencial 2 JBL, Preta - JBLPBENCOREESS2BR",1665.00,https://www.magazineluiza.com.br/caixa-de-som-partybox-encore-essencial-2-jbl-preta-jblpbencoreess2br/p/kh4b728hj3/ea/jbla/,,JBL,4.9,True,,JBL,caixa de som partybox encore essencial 2 jbl preta jblpbencoreess2br,jbl,d60bb14ee5096e6aeb0fc73be3b324625464b1a2
magalu,2026-02-11 01:54:57,"Caixa de Som Boombox 4 JBL, À Prova D'água, Bluetooth, Camuflada - JBLBOOMBOX4SQUADBR",2998.00,https://www.magazineluiza.com.br/caixa-de-som-boombox-4-jbl-a-prova-d-agua-bluetooth-camuflada-jblboombox4squadbr/p/dd8171a1jk/ea/easm/,,Bluetooth / Portátil,4.8,True,,JBL,caixa de som boombox 4 jbl a prova d agua bluetooth camuflada jblboombox4squadbr,bluetooth portatil,24510dd3d1b83b8874e10bd3a27e662e272ca27c
magalu,2026-02-11 01:54:55,Caixa de Som Bluetooth JBL Partybox 710,5399.10,https://www.magazineluiza.com.br/caixa-de-som-bluetooth-jbl-partybox-710/p/cad8aebh37/ea/jbla/,,JBL,4.84,True,,JBL,caixa de som bluetooth jbl partybox 710,jbl,c0e50b58048eacb4aaa49f11e0ed6c48da0e0db4
magalu,2026-02-11 01:54:52,Caixa de Som Bluetooth JBL Boombox 4 com Auracast IP68,3431.70,https://www.magazineluiza.com.br/caixa-de-som-bluetooth-jbl-boombox-4-com-auracast-ip68/p/gk0kh11aba/ea/jbla/,,JBL,4.83,True,,JBL,caixa de som bluetooth jbl boombox 4 com auracast ip68,jbl,637ef61717692cfefe03036fc31364e0557d70bd
